origin,State_Name,State_Post_Office_Code,County
SCC,ALASKA,AK,North Slope Borough
,ALASKA,AK,North Slope Borough
,ALASKA,AK,North Slope Borough
,ALASKA,AK,North Slope Borough
,ALASKA,AK,North Slope Borough
,ALASKA,AK,North Slope Borough
,ALASKA,AK,Northwest Arctic Borough
,ALASKA,AK,Fairbanks North Star Borough
,ALASKA,AK,Fairbanks North Star Borough
,ALASKA,AK,Fairbanks North Star Borough
,ALASKA,AK,Fairbanks North Star Borough
,ALASKA,AK,Fairbanks North Star Borough
,ALASKA,AK,Fairbanks North Star Borough
,ALASKA,AK,Fairbanks North Star Borough
,ALASKA,AK,Fairbanks North Star Borough
,ALASKA,AK,Fairbanks North Star Borough
,ALASKA,AK,Fairbanks North Star Borough
,ALASKA,AK,Fairbanks North Star Borough
