origin,State_Name,State_Post_Office_Code,County
,ALASKA,AK,Fairbanks North Star Borough
DLG,ALASKA,AK,Dillingham Census Area
,ALASKA,AK,Bristol Bay Borough
,ALASKA,AK,Bristol Bay Borough
,ALASKA,AK,Nome Census Area
,ALASKA,AK,Aleutians East Borough
EAA,ALASKA,AK,Southeast Fairbanks Census Area
,ALASKA,AK,Anchorage Municipality
,ALASKA,AK,Anchorage Municipality
EEK,ALASKA,AK,Bethel Census Area
,ALASKA,AK,Bristol Bay Borough
,ALASKA,AK,Bristol Bay Borough
KEK,ALASKA,AK,Dillingham Census Area
,ALASKA,AK,Skagway Municipality
ELV,ALASKA,AK,Hoonah-Angoon Census Area
ELI,ALASKA,AK,Nome Census Area
,ALASKA,AK,Nome Census Area
,ALASKA,AK,Valdez chitna whitie County
,ALASKA,AK,Kusilvak Census Area
,ALASKA,AK,Valdez chitna whitie County
,ALASKA,AK,Yukon-Koyukuk Census Area
,ALASKA,AK,Fairbanks North Star Borough
EXI,ALASKA,AK,Haines Borough
